# plugin-recipes.tsv — map each plugins/source/{lv2,vst3}/<folder> to the recipe
# (a build_<name> function in scripts/recipes/{lv2,vst3}.sh, dispatched by
# scripts/build-lib-internal.sh) that produces its binary/bundle.
#
# Several recipes build many catalogue entries: dragonfly-reverb yields 4
# plugins, caps-lv2 yields 7, gxplugins yields 38, etc. A single touched
# plugin folder dispatches its whole recipe so the bundle stays consistent.
#
# Recipe '-' means "no upstream mapped" — the workflow skips these. They
# need an orphan-discovery pass (separate issue) before they can build.
#
# Format: <plugin_folder>\t<recipe>
aether	aether
artyfx_filta	artyfx
avocado	-
b_reverb	setbfree
bitta	artyfx
bolliedelay	bolliedelay
byod	byod
caps_autofilter	caps-lv2
caps_phaser2	caps-lv2
caps_plate	caps-lv2
caps_platex2	caps-lv2
caps_scape	caps-lv2
caps_spice	caps-lv2
caps_spicex2	caps-lv2
chow_centaur	chowcentaur
chow_matrix	chowmatrix
chow_phaser	chowphaser
chow_tape_model	chowtape
dragonfly_early	dragonfly-reverb
dragonfly_hall	dragonfly-reverb
dragonfly_plate	dragonfly-reverb
dragonfly_room	dragonfly-reverb
driva	artyfx
ewham_harmonizer	-
fat1_autotune	-
filtr	filtr
floaty	-
fomp_autowah	fomp
fomp_cs_chorus	fomp
fomp_cs_phaser	fomp
gate12	gate12
gx_axisface	gxplugins
gx_bajatubedriver	gxplugins
gx_blueamp	gxplugins
gx_boobtube	gxplugins
gx_bottlerocket	gxplugins
gx_clubdrive	gxplugins
gx_creammachine	gxplugins
gx_dop250	gxplugins
gx_epic	gxplugins
gx_eternity	gxplugins
gx_fz1b	gxplugins
gx_fz1s	gxplugins
gx_guvnor	gxplugins
gx_hotbox	gxplugins
gx_hyperion	gxplugins
gx_knightfuzz	gxplugins
gx_liquiddrive	gxplugins
gx_luna	gxplugins
gx_microamp	gxplugins
gx_quack	gxplugins
gx_saturator	gxplugins
gx_sd1	gxplugins
gx_sd2lead	gxplugins
gx_shakatube	gxplugins
gx_sloopyblue	gxplugins
gx_sunface	gxplugins
gx_superfuzz	gxplugins
gx_supersonic	gxplugins
gx_suppatonebender	gxplugins
gx_timray	gxplugins
gx_tonemachine	gxplugins
gx_tubedistortion	gxplugins
gx_ultracab	gxplugins
gx_valvecaster	gxplugins
gx_vintagefuzzmaster	gxplugins
gx_vmk2	gxplugins
gx_voodofuzz	gxplugins
harmless	shiro-plugins
invada_tube	invada-studio
larynx	shiro-plugins
luftikus	distrho
mda_ambience	mda-lv2
mda_combo	mda-lv2
mda_degrade	mda-lv2
mda_detune	mda-lv2
mda_dubdelay	mda-lv2
mda_leslie	mda-lv2
mda_overdrive	mda-lv2
mda_repsycho	mda-lv2
mda_ringmod	mda-lv2
mda_thruzero	mda-lv2
mod_hpf	mod-utilities
mod_lpf	mod-utilities
modulay	shiro-plugins
mud	-
mverb	mverb
ojd	ojd
paranoia	-
qdelay	qdelay
reevr	reevr
roomy	artyfx
satma	artyfx
shiroverb	shiro-plugins
sirial	sirial
tal_dub_3	distrho
tal_filter_2	distrho
tal_reverb_2	distrho
tap_chorus_flanger	tap-lv2
tap_deesser	tap-lv2
tap_doubler	tap-lv2
tap_dynamics	tap-lv2
tap_echo	tap-lv2
tap_equalizer	tap-lv2
tap_equalizer_bw	tap-lv2
tap_limiter	tap-lv2
tap_reflector	tap-lv2
tap_reverb	tap-lv2
tap_rotspeak	tap-lv2
tap_sigmoid	tap-lv2
tap_tremolo	tap-lv2
tap_tubewarmth	tap-lv2
time12	time12
wolf_shaper	wolf-shaper
x42_darc	x42
x42_dpl	x42
x42_fil4	x42
zamcomp	zam-plugins
zameq2	zam-plugins
zamgate	zam-plugins
zamgeq31	zam-plugins
zamulticomp	zam-plugins
cloud_reverb	cloudreverb
frequalizer	frequalizer
retuner	retuner
room_reverb	roomreverb
setekh	setekh
vitottx	vitottx
aida_x	aidax
dfzitarev1	dfzitarev1
master_me	master_me
